Friends;Add time;Find time;Merge time;Remove time
100000;145.6453;245.4053;1105.6406;99.2955
101000;93.8714;125.3498;670.1126;88.9283
102000;93.9581;117.4249;736.1667;80.0668
103000;87.6902;287.0463;1164.9862;101.5324
104000;89.0577;193.5551;1070.8236;141.0368
105000;109.0111;207.0035;813.9865;86.0097
106000;149.6832;134.6103;1099.5092;104.9101
107000;72.7116;198.3921;921.2635;87.2706
108000;73.2091;162.0564;956.1129;94.8851
109000;88.6995;126.3622;666.1465;71.1059
110000;65.039;114.3347;651.8763;209.2128
111000;91.5447;131.8097;712.9972;81.4072
112000;89.8229;132.3368;706.5741;78.6657
113000;87.9907;118.891;679.2038;83.5753
114000;94.1454;118.0214;715.9704;84.6309
115000;276.1426;129.6535;1007.9011;119.6914
116000;108.7448;176.6345;771.9309;78.9368
117000;189.7118;204.3686;969.7664;106.5511
118000;90.9916;112.9597;646.3806;197.393
119000;126.7376;197.5176;1084.8021;115.9021
120000;87.0185;155.0842;697.7738;73.6419
121000;161.2575;157.5383;848.4528;95.9169
122000;89.737;115.035;819.6742;89.9191
123000;118.037;200.0164;1014.4006;106.5106
124000;175.9365;191.3711;966.5097;85.1722
125000;87.0665;113.163;805.8536;105.7208
126000;94.4957;146.0801;933.5206;107.822
127000;102.6864;133.0011;834.9665;107.9344
128000;103.597;129.8983;865.396;90.0624
129000;104.6922;143.0359;814.8157;92.2008
130000;93.2747;116.1059;770.9652;96.6495
131000;119.5267;116.3679;807.9305;85.6944
132000;83.4151;117.0548;859.2519;100.0119
133000;135.536;134.8401;917.0622;95.4575
134000;92.8423;115.4311;931.7651;108.2851
135000;147.1583;161.8682;876.3763;97.0936
136000;141.3538;145.2229;847.1927;112.2865
137000;117.9279;113.395;938.3188;86.9955
138000;135.3121;150.487;827.7998;94.6214
139000;91.9924;173.1632;837.8172;97.3514
140000;84.7002;112.8243;659.9017;81.0349
141000;155.7493;176.0778;838.7221;142.4263
142000;79.7666;149.2481;866.8223;90.2422
143000;145.9762;135.4014;873.4657;92.0516
144000;77.2913;109.2466;884.4151;93.1336
145000;116.1816;164.3149;917.6052;94.9287
146000;96.7679;114.5568;897.7683;90.6309
147000;135.9963;161.9456;868.3842;126.6818
148000;163.2954;158.7406;912.2547;97.8878
149000;139.1982;142.1174;839.8803;123.8748
150000;147.8938;157.9547;904.6227;112.8786
151000;96.1868;110.1271;886.7106;109.3308
